date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:18	127/127	---M-Z	200	added ('OK')	text/plain	etag:%223463-1664811162;gz%22	https://hustleupdate.com/robots.txt		(from )
10:57:19	146042/146042	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Oct%202022%2018:10:52%20GMT	https://hustleupdate.com/	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/index.html	(from )
10:57:20	88932/88932	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2022:47:59%20GMT	https://hustleupdate.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-includes/css/dist/block-library/style.min5b21.css	(from https://hustleupdate.com/)
10:57:21	140202/140202	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Oct%202022%2018:10:55%20GMT	https://hustleupdate.com/page/2/	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/page/2/index.html	(from https://hustleupdate.com/)
10:57:21	20627/20627	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2016:33:05%20GMT	https://hustleupdate.com/wp-content/plugins/chaty/css/chaty-front.min.css?ver=1663750840	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/plugins/chaty/css/chaty-front.minea6e.css	(from https://hustleupdate.com/)
10:57:21	8294/8294	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ea94a42e3ce33ca3b2cc68da76b6c2f3%22	https://hustleupdate.com/comments/feed/	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/comments/feed/index.html	(from https://hustleupdate.com/)
10:57:21	2731/2731	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Sep%202022%2003:16:15%20GMT	https://hustleupdate.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.3	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/plugins/contact-form-7/includes/css/styles42f0.css	(from https://hustleupdate.com/)
10:57:21	16629/16629	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ea94a42e3ce33ca3b2cc68da76b6c2f3%22	https://hustleupdate.com/feed/	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/feed/index.html	(from https://hustleupdate.com/)
10:57:21	207350/207350	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/css/bootstrap.css?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/css/bootstrap5b21.css	(from https://hustleupdate.com/)
10:57:21	65854/65854	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/style.css?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/style5b21.css	(from https://hustleupdate.com/)
10:57:22	27719/27719	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/css/colors/default.css?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/css/colors/default5b21.css	(from https://hustleupdate.com/)
10:57:22	30999/30999	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2009:03:10%20GMT	https://hustleupdate.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://hustleupdate.com/)
10:57:22	4216/4216	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/css/jquery.smartmenus.bootstrap.css?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/css/jquery.smartmenus.bootstrap5b21.css	(from https://hustleupdate.com/)
10:57:22	13690/13690	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/css/swiper.min.css?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/css/swiper.min5b21.css	(from https://hustleupdate.com/)
10:57:23	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2009%20Apr%202022%2015:42:52%20GMT	https://hustleupdate.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://hustleupdate.com/)
10:57:23	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2009%20Apr%202022%2015:42:52%20GMT	https://hustleupdate.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://hustleupdate.com/)
10:57:23	55160/55160	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2005%20Jul%202022%2016:33:05%20GMT	https://hustleupdate.com/wp-content/plugins/chaty/js/cht-front-script.min.js?ver=1663750840	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/plugins/chaty/js/cht-front-script.minea6e.js	(from https://hustleupdate.com/)
10:57:23	3075/3075	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/js/navigation.js?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/js/navigation5b21.js	(from https://hustleupdate.com/)
10:57:23	139561/139561	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/js/bootstrap.js?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/js/bootstrap5b21.js	(from https://hustleupdate.com/)
10:57:24	23985/23985	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/js/jquery.marquee.js?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/js/jquery.marquee5b21.js	(from https://hustleupdate.com/)
10:57:24	139797/139797	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/js/swiper.min.js?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/js/swiper.min5b21.js	(from https://hustleupdate.com/)
10:57:24	46638/46638	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/js/jquery.smartmenus.js?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/js/jquery.smartmenus5b21.js	(from https://hustleupdate.com/)
10:57:25	6010/6010	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2009:05:03%20GMT	https://hustleupdate.com/wp-content/themes/newses/js/bootstrap-smartmenus.js?ver=6.0.2	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-content/themes/newses/js/bootstrap-smartmenus5b21.js	(from https://hustleupdate.com/)
10:57:26	811/811	---M-Z	200	added ('OK')	text/xml	date:Tue,%2004%20Oct%202022%2018:11:00%20GMT	https://hustleupdate.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/xmlrpc0db0.php	(from https://hustleupdate.com/)
10:57:26	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Sat,%2009%20Apr%202022%2015:42:52%20GMT	https://hustleupdate.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-includes/wlwmanifest.xml	(from https://hustleupdate.com/)
10:57:27	194813/194813	---MCZ	200	added ('OK')	application/json	etag:W/%224544-1664907060;;;%22	https://hustleupdate.com/wp-json/	C:/My%20Web%20Sites/hustlesite/hustleupdate.com/wp-json/index.html	(from https://hustleupdate.com/)
